Outlet_ID,legacy_education_1km,legacy_education_3km,decay_education,legacy_health_1km,legacy_health_3km,decay_health,legacy_transport_1km,legacy_transport_3km,decay_transport,legacy_market_1km,legacy_market_3km,decay_market,legacy_tourism_1km,legacy_tourism_3km,decay_tourism,legacy_food_1km,legacy_food_3km,decay_food,legacy_worship_1km,legacy_worship_3km,decay_worship,competitors_1km,decay_total
OUT_00020,3,10,1.527,0,0,0.0054,1,4,0.2772,0,3,0.0947,0,2,0.0329,2,7,0.2713,4,16,2.088,13,4.2966
OUT_00021,0,8,0.4693,1,6,0.4356,1,4,0.1992,1,3,0.1938,0,1,0.0381,1,6,0.1135,4,26,3.112,11,4.5615
OUT_00022,2,11,1.0397,1,6,0.4371,1,13,0.3149,0,1,0.0688,1,2,0.3532,0,4,0.0519,0,17,1.2682,19,3.5338
OUT_00023,2,15,2.3214,0,1,0.0419,0,6,0.0125,0,3,0.1017,0,0,0.0,1,9,0.263,6,20,3.0539,15,5.7945
OUT_00024,0,8,0.5405,0,5,0.1194,1,13,0.354,0,4,0.0527,0,2,0.0524,1,5,0.0958,2,20,1.6019,12,2.8168
OUT_00025,1,10,0.9214,0,2,0.0536,1,11,0.1589,2,3,0.4439,1,1,0.3763,1,6,0.0924,4,26,3.6084,17,5.6549
OUT_00026,3,15,1.5591,0,7,0.078,1,5,0.0651,1,5,0.5321,0,0,0.0,1,7,0.531,3,25,3.0868,18,5.852
OUT_00027,0,10,0.6218,1,4,0.2686,3,7,0.2535,0,2,0.0155,0,0,0.0005,0,7,0.0044,4,31,3.5806,15,4.7448
OUT_00028,0,16,1.0681,0,1,0.0437,0,10,0.1518,0,2,0.073,1,1,0.1837,1,4,0.2119,3,22,2.041,16,3.7732
OUT_00029,1,7,0.8831,1,8,0.2315,1,7,0.6976,0,5,0.1354,1,1,0.3161,0,4,0.0009,4,27,2.6885,19,4.953
OUT_00030,1,9,0.7883,0,1,0.0239,1,8,0.242,0,2,0.0614,0,0,0.0,0,7,0.1447,2,14,1.6859,17,2.9464
OUT_00031,2,11,1.5913,0,1,0.0119,0,10,0.0141,0,2,0.013,0,1,0.0241,1,6,0.1626,2,21,1.8374,19,3.6544
OUT_00032,2,13,1.1393,1,6,0.4101,2,11,0.3501,0,1,0.0198,1,2,0.6094,2,8,0.5317,0,19,1.3208,17,4.3812
OUT_00033,1,16,1.4004,0,1,0.0069,1,15,0.7459,0,2,0.0196,0,3,0.0201,1,7,0.1442,3,27,2.2945,15,4.6316
OUT_00034,0,6,0.3112,1,3,0.8405,0,7,0.0618,0,1,0.0216,0,3,0.0675,0,4,0.0256,1,21,1.6087,13,2.9367
OUT_00035,1,9,0.9931,1,4,0.4438,2,8,0.4838,1,1,0.2544,0,0,0.0,0,6,0.0276,3,21,2.0799,15,4.2826
OUT_00036,2,14,1.1883,0,2,0.0195,1,8,0.1839,0,0,0.0045,0,0,0.0004,0,7,0.0472,2,20,1.8667,17,3.3105
OUT_00037,2,12,0.8361,1,2,0.214,1,8,0.1299,0,3,0.1248,0,1,0.0624,0,6,0.0129,5,24,3.16,33,4.5401
OUT_00038,2,8,1.8639,0,2,0.039,0,11,0.0054,1,2,0.3659,0,0,0.0001,1,10,0.1348,1,29,2.2238,6,4.6329
OUT_00039,1,12,0.9239,0,3,0.0561,1,9,0.1493,0,2,0.204,0,0,0.0003,0,6,0.0625,2,16,1.4656,5,2.8618
OUT_00040,2,14,2.1282,0,7,0.1309,1,7,0.2143,1,6,0.6259,0,0,0.0,1,6,0.4358,4,26,2.5272,12,6.0623
OUT_00041,3,25,2.5078,0,1,0.0798,2,15,0.4993,0,3,0.0319,0,0,0.0,0,4,0.0045,5,25,2.7681,18,5.8914
OUT_00042,0,8,0.3671,0,3,0.1461,1,11,0.141,0,2,0.0515,0,0,0.0005,0,4,0.0535,4,28,2.8069,13,3.5665
OUT_00043,2,17,1.5677,0,2,0.0125,1,9,0.5337,0,4,0.197,0,1,0.0331,0,1,0.0005,2,23,2.3996,12,4.7442
OUT_00044,1,12,0.9672,0,5,0.1602,0,9,0.1019,1,3,0.1862,0,0,0.001,0,5,0.045,4,29,2.5902,10,4.0517
OUT_00045,0,8,0.3853,0,1,0.0619,2,7,0.148,0,3,0.0715,0,3,0.1092,0,3,0.0008,4,28,2.9724,19,3.749
OUT_00046,1,7,0.6532,1,3,0.176,1,10,0.1457,1,4,0.4696,0,0,0.0001,1,3,0.3695,1,11,0.8265,19,2.6407
OUT_00047,2,11,1.7205,0,2,0.0554,0,6,0.0448,1,3,0.1859,1,2,0.3951,0,3,0.0194,3,29,2.2301,20,4.6512
OUT_00048,1,8,0.7551,0,8,0.1808,0,8,0.0562,0,1,0.0069,0,3,0.03,0,4,0.0046,0,17,1.2828,18,2.3164
OUT_00049,0,16,1.0914,0,0,0.0035,0,7,0.0177,1,3,0.3031,0,0,0.0001,1,8,0.1306,4,26,2.6627,16,4.209
OUT_00050,0,16,0.6038,0,1,0.1056,2,6,0.5049,0,2,0.0469,0,1,0.0087,1,5,0.1135,2,22,1.6462,16,3.0297
OUT_00051,2,10,1.1151,0,1,0.0832,0,4,0.0201,1,5,0.3272,0,0,0.0009,0,3,0.0021,1,16,1.3389,14,2.8875
OUT_00052,1,12,1.0226,0,1,0.008,0,9,0.027,0,1,0.0081,0,2,0.0164,0,5,0.0544,2,17,1.9934,8,3.1299
OUT_00053,1,3,0.6313,1,4,0.3321,1,7,0.1137,0,1,0.0198,0,3,0.0602,0,4,0.0166,1,19,1.8376,16,3.0112
OUT_00054,1,15,0.8114,0,2,0.0534,1,11,0.1845,1,4,0.2247,0,1,0.0084,0,5,0.0879,3,22,2.2535,14,3.6237
OUT_00055,0,9,0.3965,0,3,0.0355,0,7,0.0482,0,2,0.0273,0,1,0.0131,1,6,0.1014,4,26,2.9171,20,3.539
OUT_00056,1,20,1.5938,1,2,0.5999,1,11,0.1181,1,1,0.3994,0,2,0.0204,1,8,0.1317,2,23,2.1093,17,4.9725
OUT_00057,4,13,2.1807,0,2,0.0329,2,13,0.8242,0,2,0.0257,0,1,0.0083,0,4,0.0262,2,24,2.0912,18,5.1892
OUT_00058,0,8,0.6402,1,7,0.5725,1,7,0.1486,0,3,0.0567,1,4,0.3941,0,5,0.0084,2,23,2.5759,16,4.3965
OUT_00059,1,13,1.472,0,2,0.0332,1,6,0.1123,1,2,0.242,0,0,0.0019,1,6,0.1253,2,24,2.2289,11,4.2157
OUT_00060,1,14,1.2071,0,3,0.1023,0,8,0.0148,0,1,0.0725,0,0,0.0018,0,4,0.0096,0,32,1.6109,18,3.0188
OUT_00061,2,14,1.3663,1,4,0.4642,2,8,0.5338,0,5,0.3187,0,0,0.0002,1,7,0.6851,2,26,2.0455,13,5.4138
OUT_00062,3,9,1.2105,0,1,0.003,0,11,0.0518,1,4,0.4301,0,0,0.0002,0,9,0.0154,2,23,2.0597,10,3.7707
OUT_00063,2,10,0.8142,0,3,0.1426,0,6,0.0246,0,1,0.0122,0,0,0.0,0,2,0.0022,4,23,2.5042,9,3.5
OUT_00064,3,11,1.8523,0,4,0.311,0,1,0.0009,1,5,0.3413,0,0,0.0001,0,5,0.0069,3,22,2.3259,13,4.8384
OUT_00065,0,17,1.0147,0,2,0.0291,1,7,0.3146,0,3,0.0278,0,0,0.0003,2,8,0.1348,0,18,1.4787,12,2.9999
OUT_00066,1,18,1.4368,0,2,0.0689,1,7,0.3612,0,3,0.0545,0,0,0.0011,1,9,0.1247,3,29,2.4847,16,4.5319
OUT_00067,1,11,0.8145,0,1,0.0528,0,10,0.0672,1,3,0.3627,0,1,0.0304,0,6,0.0038,2,21,2.4208,22,3.7521
OUT_00068,3,10,1.9765,0,2,0.0154,1,8,0.1177,0,2,0.0201,0,0,0.0,0,4,0.0292,2,28,2.168,11,4.327
OUT_00069,0,12,1.1679,0,5,0.025,2,8,1.0793,0,3,0.1182,0,1,0.0065,0,2,0.0029,1,29,2.0673,20,4.467
OUT_00070,2,8,1.1217,0,0,0.0019,1,12,0.1137,2,3,0.5489,0,0,0.0002,0,8,0.0076,4,26,2.669,18,4.463
OUT_00071,0,12,0.4179,1,7,0.4004,0,5,0.0163,0,2,0.0438,0,2,0.0176,1,4,0.137,4,23,2.3432,22,3.3761
OUT_00072,1,9,0.8017,0,1,0.0114,0,4,0.0181,0,1,0.0065,0,1,0.0056,0,6,0.0154,1,26,1.9238,15,2.7825
OUT_00073,0,9,0.7319,0,1,0.0084,1,11,0.2225,1,1,0.2605,1,1,0.3436,1,8,0.1433,5,35,3.4901,15,5.2002
OUT_00074,0,12,0.8101,1,3,0.3318,1,8,0.1293,1,3,0.1874,0,1,0.0036,0,5,0.0088,3,19,2.7701,16,4.2411
OUT_00075,1,18,1.8516,0,2,0.0131,1,10,0.1656,1,1,0.1735,0,0,0.0002,1,7,0.2678,5,23,3.0252,17,5.4971
OUT_00076,0,14,0.9587,0,3,0.056,0,10,0.0111,0,2,0.0438,0,1,0.0069,0,5,0.0089,0,27,1.5164,21,2.6018
OUT_00077,0,13,0.5976,0,2,0.0219,1,8,0.1122,1,2,0.4032,0,1,0.0159,1,8,0.1241,2,20,1.6773,12,2.9523
OUT_00078,0,13,0.3938,1,4,0.5954,0,6,0.0518,0,3,0.0291,0,0,0.002,0,5,0.037,4,23,2.6367,18,3.7458
OUT_00079,1,8,0.6579,0,2,0.0324,1,12,0.1831,0,2,0.0175,0,1,0.0518,0,10,0.0266,2,28,2.4427,15,3.412
OUT_00080,2,13,1.6629,0,4,0.2711,1,8,0.1609,1,5,0.5723,0,0,0.0008,1,7,0.6282,0,25,1.6709,15,4.967
OUT_00081,5,19,3.7289,0,1,0.103,1,8,0.1037,0,1,0.0041,0,0,0.0011,2,5,0.4593,3,30,3.2161,14,7.6162
OUT_00082,0,6,0.4357,0,0,0.0016,1,5,0.1407,0,2,0.0271,0,1,0.0146,0,3,0.0069,2,22,2.0384,18,2.665
OUT_00083,4,15,3.1888,0,3,0.0922,0,9,0.0968,0,3,0.1068,0,1,0.0271,0,7,0.0975,3,25,2.3308,15,5.94
OUT_00084,2,16,1.358,1,6,0.2462,2,8,0.1755,0,1,0.0328,1,2,0.3334,2,9,0.6396,1,20,1.3046,17,4.0902
OUT_00085,0,6,0.2621,0,5,0.1623,1,9,0.2527,1,5,0.4551,0,2,0.1223,0,5,0.015,1,16,1.2145,14,2.484
OUT_00086,4,12,2.0131,0,0,0.0036,2,10,0.2626,0,1,0.0127,0,1,0.0046,0,3,0.0098,2,34,2.4459,19,4.7523
OUT_00087,2,9,1.352,1,3,0.2209,1,10,0.1172,0,1,0.0308,0,0,0.0002,1,7,0.1261,3,25,3.2202,9,5.0674
OUT_00088,1,10,1.0029,0,2,0.0221,0,11,0.1276,0,3,0.1349,0,1,0.0056,1,4,0.1047,2,21,2.3497,15,3.7475
OUT_00089,2,14,1.6713,0,2,0.1099,1,8,0.0673,0,2,0.0097,0,1,0.0045,1,6,0.3042,3,24,2.1125,16,4.2793
OUT_00091,1,14,1.098,0,4,0.0291,1,8,0.0692,0,4,0.0492,0,0,0.0005,2,11,0.2483,4,22,3.1293,14,4.6237
OUT_00092,3,13,2.8112,1,6,0.709,2,14,0.3583,0,3,0.0246,0,0,0.0027,0,5,0.0776,3,19,1.9271,14,5.9104
OUT_00093,1,6,0.5062,0,1,0.0052,2,7,0.3286,1,1,0.6198,0,1,0.0248,0,5,0.0233,5,25,3.1989,11,4.7067
OUT_00094,2,13,1.0974,1,4,0.4991,1,7,0.1207,1,4,0.3482,0,0,0.0,0,9,0.0462,2,25,2.2108,15,4.3224
OUT_00095,2,10,0.9832,2,5,0.422,1,12,0.457,1,5,0.3218,0,0,0.0006,1,3,0.1957,1,14,1.4773,16,3.8576
OUT_00096,0,10,0.3482,0,0,0.0004,0,11,0.0843,0,4,0.0408,0,1,0.0073,0,2,0.0103,0,20,1.1837,14,1.6751
OUT_00097,2,14,1.8013,0,3,0.1271,0,4,0.0212,0,6,0.2724,0,1,0.0041,1,6,0.0744,2,23,2.3855,10,4.6859
OUT_00098,0,11,0.683,0,3,0.0762,1,12,0.2338,0,4,0.1193,0,1,0.0038,0,12,0.0894,5,25,3.629,18,4.8345
OUT_00099,2,10,1.1674,0,2,0.0436,0,5,0.0762,1,4,0.2333,0,0,0.0009,0,2,0.0011,0,29,2.0608,13,3.5834
OUT_00100,1,11,1.1249,0,2,0.1058,2,6,0.1315,0,4,0.0466,0,0,0.0003,0,6,0.0021,2,22,1.847,11,3.2582
OUT_00101,2,10,1.4139,0,2,0.018,0,8,0.0465,0,2,0.0455,0,1,0.0064,1,8,0.1273,3,18,2.2551,29,3.9127
OUT_00102,2,7,0.8005,0,3,0.0631,1,6,0.4659,0,1,0.0295,0,0,0.0002,0,3,0.0172,1,18,1.3476,10,2.724
OUT_00103,1,18,1.5106,0,2,0.0677,1,7,0.4593,0,3,0.0494,0,0,0.0009,1,9,0.1517,2,30,2.3605,15,4.6002
OUT_00104,3,8,1.8823,0,1,0.0136,1,10,0.1114,2,4,0.7254,0,0,0.0001,0,11,0.0089,2,29,2.3172,14,5.0588
OUT_00105,2,20,1.9406,0,1,0.0112,1,9,0.1503,0,3,0.0346,0,0,0.0005,1,7,0.0923,4,25,2.6872,13,4.9168
OUT_00106,3,10,1.9063,0,3,0.0544,1,7,0.1351,0,1,0.0102,0,2,0.0158,0,6,0.0264,1,15,1.1019,21,3.25
OUT_00107,3,10,1.7181,0,2,0.0146,0,10,0.0191,0,2,0.0294,0,1,0.0109,1,7,0.1305,2,21,2.1883,23,4.1109
OUT_00108,1,10,1.0941,0,3,0.1522,2,9,0.2096,2,6,0.5569,0,1,0.0133,1,3,0.6693,3,27,2.5491,21,5.2445
OUT_00109,2,9,1.1299,0,10,0.1896,0,5,0.0125,1,6,0.2225,0,1,0.1024,1,4,0.2264,4,26,2.4693,20,4.3525
OUT_00110,2,10,1.2715,0,2,0.0996,1,8,0.0857,0,3,0.0511,0,1,0.0105,0,5,0.02,4,22,2.791,28,4.3293
OUT_00111,2,17,2.4096,0,2,0.1412,2,9,0.386,0,1,0.0052,0,1,0.0042,3,6,0.4818,2,30,2.8847,13,6.3128
OUT_00112,3,13,1.4529,0,1,0.0102,1,3,0.2673,0,0,0.0011,0,1,0.0079,1,9,0.1213,3,19,1.842,13,3.7026
OUT_00113,1,10,1.4092,1,5,0.7312,3,12,0.3739,0,0,0.0015,0,2,0.0384,1,6,0.5285,1,22,1.6368,11,4.7194
OUT_00114,2,18,1.4576,0,0,0.0052,2,13,0.1878,1,2,0.2236,0,1,0.038,1,8,0.0684,4,26,2.8576,18,4.8381
OUT_00115,1,17,1.2457,0,2,0.1244,0,9,0.0137,0,4,0.1356,1,3,0.3379,0,2,0.0258,3,26,2.7667,12,4.6498
OUT_00116,0,11,0.6287,0,6,0.2043,1,9,0.1614,0,3,0.0198,0,2,0.0679,1,4,0.1435,3,21,2.0601,12,3.2859
OUT_00117,2,7,0.8938,0,1,0.0195,0,2,0.0018,1,3,0.327,0,0,0.0002,0,5,0.0053,0,20,1.1298,11,2.3773
OUT_00118,1,10,0.9077,0,2,0.0275,0,7,0.036,2,3,0.6272,0,0,0.0022,2,6,0.5321,7,24,4.6742,13,6.8069
OUT_00119,3,22,2.5315,0,1,0.03,2,7,0.5991,0,3,0.0752,0,0,0.0026,1,6,0.0774,2,27,2.4486,12,5.7645
OUT_00120,0,14,0.9669,0,3,0.0372,2,12,0.784,0,2,0.0568,0,0,0.0001,2,4,0.9239,2,23,2.0257,15,4.7946
OUT_00121,1,9,1.1523,1,2,0.1937,4,10,0.6989,0,3,0.0218,0,1,0.0043,3,11,0.8552,5,32,3.6322,14,6.5583
OUT_00122,0,8,0.5626,0,1,0.0107,0,11,0.0751,0,2,0.0176,0,1,0.0045,1,6,0.1089,2,22,2.6948,15,3.474
OUT_00123,2,13,1.3567,0,2,0.078,1,8,0.6812,2,4,0.3778,0,1,0.0045,1,7,0.6528,2,26,2.1407,9,5.2917
OUT_00124,0,7,0.4257,0,2,0.0845,1,5,0.2059,0,2,0.1312,0,2,0.0274,1,4,0.2241,1,22,1.9302,18,3.0291
OUT_00125,3,13,1.3293,0,2,0.0164,0,11,0.116,0,1,0.016,0,0,0.0014,2,10,0.2595,1,25,1.4658,12,3.2044
OUT_00126,1,8,0.8713,1,3,0.4096,1,9,0.3272,0,2,0.0216,0,2,0.069,4,9,0.4796,2,17,2.195,17,4.3734
OUT_00127,2,8,1.1819,1,4,0.2494,1,5,0.0627,0,3,0.0454,0,0,0.0,1,8,0.2983,3,26,2.7307,8,4.5684
OUT_00128,0,11,0.6325,0,1,0.0034,1,5,0.1601,0,3,0.0331,0,0,0.0036,0,6,0.0183,2,19,1.9646,17,2.8155
OUT_00129,2,15,1.4208,0,1,0.03,2,13,0.4845,0,0,0.0023,0,0,0.0024,0,7,0.0495,3,26,2.0764,13,4.0659
OUT_00130,1,11,0.7191,0,5,0.0361,0,7,0.0428,0,4,0.069,0,1,0.0043,2,7,0.2746,5,29,3.4462,15,4.592
OUT_00131,2,15,1.3313,0,4,0.0312,1,9,0.0758,0,2,0.0101,2,3,0.5342,2,12,0.1672,2,21,2.3232,12,4.473
OUT_00132,0,18,0.8488,1,2,0.2769,3,7,0.7291,0,3,0.0347,0,1,0.0051,1,5,0.3091,0,22,1.5655,15,3.7692
OUT_00133,2,14,1.6978,0,0,0.0005,4,13,1.7136,0,0,0.002,1,2,0.2977,0,4,0.0619,3,18,1.6058,15,5.3793
OUT_00134,0,11,0.5101,0,4,0.1322,4,10,0.9842,0,2,0.0127,0,1,0.0038,0,3,0.0108,8,30,3.9134,12,5.5672
OUT_00135,0,12,0.7717,1,3,0.1997,1,6,0.1606,1,3,0.5095,0,1,0.0376,0,3,0.0195,0,19,1.1721,19,2.8707
OUT_00136,2,19,1.7107,0,1,0.0217,3,9,0.6268,1,4,0.319,0,2,0.019,0,2,0.001,3,20,2.0356,14,4.7339
OUT_00137,1,14,1.2327,1,5,0.5173,1,4,0.281,0,1,0.1243,0,1,0.0628,0,4,0.0064,4,22,2.3751,19,4.5996
OUT_00138,0,11,0.4728,0,0,0.0025,0,9,0.0564,0,1,0.134,0,1,0.0553,0,5,0.0277,4,27,2.7204,18,3.469
OUT_00139,3,16,2.3049,0,2,0.008,2,14,0.2656,0,0,0.0024,0,0,0.0011,1,6,0.4012,1,20,1.2276,12,4.2109
OUT_00140,0,8,0.6278,2,3,0.3028,3,8,0.4828,0,2,0.14,0,1,0.0084,1,11,0.083,3,21,1.7803,14,3.4251
OUT_00141,1,21,1.6695,1,1,0.1611,0,8,0.0171,1,4,0.3312,0,0,0.0,1,8,0.211,0,20,1.2259,13,3.6158
OUT_00142,1,10,0.9038,1,2,0.552,1,9,0.1262,0,3,0.0636,0,1,0.1033,0,8,0.0546,4,30,4.001,23,5.8046
OUT_00143,1,16,1.63,0,2,0.0191,1,8,0.2566,0,1,0.0596,0,0,0.0002,1,8,0.2476,3,26,2.7795,14,4.9926
OUT_00144,2,14,1.2294,1,1,0.2763,0,8,0.0687,0,3,0.1416,0,2,0.0391,0,6,0.0154,5,26,3.3941,18,5.1645
OUT_00145,2,7,0.8833,0,1,0.0065,2,8,0.7589,0,3,0.0583,0,1,0.0544,1,7,0.1074,4,27,2.1715,11,4.0403
OUT_00146,1,6,0.5609,0,2,0.015,3,6,0.715,0,1,0.0931,0,0,0.0031,0,3,0.0104,7,32,4.2962,13,5.6936
OUT_00147,3,14,2.5101,0,2,0.0209,0,7,0.0352,0,1,0.0355,0,0,0.0001,0,3,0.0235,3,27,2.0195,15,4.6447
OUT_00148,1,15,1.6316,1,3,0.209,1,8,0.1036,0,1,0.0507,0,0,0.0,0,3,0.0016,2,19,1.6189,23,3.6155
OUT_00149,1,9,0.8383,0,1,0.0067,1,8,0.1172,0,3,0.0119,0,1,0.0139,0,6,0.0578,4,22,2.6785,12,3.7242
OUT_00150,1,8,0.8391,0,9,0.0918,1,9,0.1301,1,6,0.4486,0,1,0.0827,1,5,0.1089,2,24,1.7295,15,3.4308
OUT_00151,4,20,2.0051,0,1,0.0111,1,8,0.0965,0,4,0.0525,0,0,0.0003,1,7,0.2906,2,25,2.4558,18,4.9119
OUT_00152,2,18,1.7253,0,2,0.0639,0,10,0.042,0,4,0.0921,0,2,0.1021,0,2,0.0171,6,22,3.3956,11,5.438
OUT_00153,0,5,0.2715,2,5,1.2517,2,9,0.1494,0,3,0.2338,1,3,0.3259,1,4,0.1102,0,27,1.7959,18,4.1385
OUT_00154,2,20,1.9975,0,2,0.0721,2,9,0.1682,0,1,0.0063,0,0,0.0007,0,6,0.0324,1,20,1.3962,19,3.6734
OUT_00155,3,13,2.0438,0,3,0.0773,0,6,0.0511,2,4,0.6099,0,0,0.0016,0,6,0.0034,4,22,2.7567,10,5.5439
OUT_00156,1,13,1.2466,0,2,0.1092,0,13,0.0213,0,1,0.0131,0,1,0.0204,1,10,0.6384,4,27,3.3331,15,5.382
OUT_00157,1,11,1.0085,0,2,0.1898,1,11,0.3014,0,3,0.0895,0,1,0.0658,1,6,0.2761,1,22,1.882,21,3.8133
OUT_00158,1,13,0.8368,0,2,0.0065,1,6,0.2173,1,2,0.2131,0,1,0.0065,1,6,0.1072,2,19,1.2348,15,2.6222
OUT_00159,1,12,1.1054,0,3,0.1175,2,8,0.2577,0,0,0.0016,0,1,0.0198,0,6,0.0268,4,22,2.6296,15,4.1585
OUT_00160,4,14,2.3987,0,2,0.0077,1,6,0.0735,0,2,0.0211,1,1,0.1521,2,8,0.4106,2,24,2.0062,17,5.0699
OUT_00161,2,8,1.495,0,4,0.1133,1,6,0.1116,0,2,0.0149,0,0,0.0002,0,3,0.0114,0,21,0.9695,11,2.7159
OUT_00162,4,10,2.0795,0,6,0.1993,0,4,0.0074,2,6,0.5114,0,2,0.0625,0,5,0.0188,3,24,2.5493,9,5.4284
OUT_00163,0,5,0.1904,1,5,0.1702,2,8,0.3519,0,1,0.0051,1,2,0.6078,0,4,0.0322,2,18,1.3908,20,2.7484
OUT_00164,1,7,0.7718,1,4,0.7626,0,7,0.0074,0,4,0.1113,1,2,0.2339,0,7,0.0413,2,15,1.7629,11,3.6912
OUT_00165,3,13,2.5282,0,1,0.0272,1,10,0.084,0,1,0.0939,0,0,0.0001,0,4,0.0186,2,26,2.2277,12,4.9797
OUT_00166,3,19,2.0703,0,1,0.0301,1,6,0.6753,0,2,0.0614,0,0,0.0017,0,7,0.0593,3,25,2.4478,12,5.346
OUT_00167,1,14,1.1143,0,1,0.0075,1,4,0.1253,0,0,0.0008,0,0,0.0032,1,10,0.0836,1,17,1.2902,15,2.6249
OUT_00168,1,11,1.547,0,2,0.0127,0,8,0.0583,0,4,0.106,0,0,0.0006,0,5,0.0146,1,14,1.3953,15,3.1345
OUT_00169,0,8,0.4499,0,0,0.0009,1,6,0.1034,0,3,0.0847,0,1,0.0094,0,3,0.0253,1,22,1.5623,18,2.2361
OUT_00170,0,7,0.2735,0,1,0.0036,1,7,0.3164,0,4,0.0511,0,1,0.0049,1,7,0.1796,3,31,2.5524,11,3.3815
OUT_00171,0,8,0.4512,0,6,0.2953,1,8,0.0586,0,1,0.0087,0,2,0.028,0,4,0.0151,2,16,1.6587,16,2.5156
OUT_00172,2,17,1.6656,1,1,0.7276,0,7,0.0457,0,1,0.0159,0,1,0.012,0,9,0.0293,5,29,2.6991,12,5.1951
OUT_00173,4,25,2.7037,0,4,0.0371,2,14,0.2556,1,4,0.2337,0,0,0.0004,0,6,0.0227,3,21,3.1684,20,6.4217
OUT_00174,2,12,1.2125,0,3,0.0356,0,2,0.0012,0,5,0.2174,0,0,0.0001,4,7,1.8675,3,27,3.1714,13,6.5058
OUT_00175,1,13,1.0289,0,2,0.0384,1,10,0.65,1,4,0.3537,0,2,0.08,0,6,0.0155,8,28,4.5289,12,6.6953
OUT_00176,2,11,1.5476,0,3,0.0201,2,7,0.46,0,5,0.0605,0,1,0.042,0,2,0.007,4,29,3.2813,15,5.4184
OUT_00177,2,12,1.2488,0,1,0.1286,2,10,0.1871,2,3,0.5188,1,3,0.4675,0,5,0.0352,3,28,2.9222,17,5.5083
OUT_00178,1,9,0.7773,0,3,0.0243,0,6,0.0142,0,5,0.2358,0,1,0.0211,0,5,0.0563,2,27,2.6162,21,3.7451
OUT_00179,1,12,0.7085,0,3,0.1052,1,6,0.1074,1,6,0.4209,0,0,0.0016,0,8,0.0578,2,23,2.0437,21,3.4451
