Outlet_ID,coord_status,outlet_size,size_score,outlet_type,cooler_count,is_grocery,is_hotel,is_pharmacy,is_kiosk,is_eatery,is_bakery,is_smmt,seasonality_jan2026_label,seasonality_jan2026_score,avg_jan_holidays,count_education_1km,count_education_3km,nearest_education_m,count_health_1km,count_health_3km,nearest_health_m,count_transport_1km,count_transport_3km,nearest_transport_m,count_market_1km,count_market_3km,nearest_market_m,count_tourism_1km,count_tourism_3km,nearest_tourism_m,count_food_1km,count_food_3km,nearest_food_m,count_worship_1km,count_worship_3km,nearest_worship_m,lat,lon,generated_at
OUT_00015,valid,Small,1,Bakery,0,0,0,0,0,0,1,0,Moderate,1,2.3,1,12,520.8,1,3,768.3,2,12,743.5,1,1,521.6,0,0,4788.2,0,4,1742.7,2,20,314.1,6.799421,80.013403,2026-05-16T15:57:02+00:00
OUT_00016,valid,Medium,2,Eatery,1,0,0,0,0,1,0,0,Moderate,1,2.3,2,11,605.7,0,2,1156.0,0,8,1015.9,0,3,1673.0,0,1,2326.3,0,5,1480.1,4,22,271.4,6.879233,79.834761,2026-05-16T15:57:02+00:00
OUT_00017,valid,Large,3,Eatery,5,0,0,0,0,1,0,0,Moderate,1,2.3,0,11,1081.5,0,0,3386.5,0,5,1113.5,0,3,1936.0,0,0,4013.7,0,8,1424.6,4,21,238.0,6.747705,79.911245,2026-05-16T15:57:02+00:00
OUT_00018,valid,Small,1,Pharmacy,1,0,0,1,0,0,0,0,Moderate,1,2.3,1,15,55.6,0,0,3721.3,2,6,562.6,0,3,1988.8,0,0,3781.8,0,3,1389.8,2,14,895.3,7.143606,79.941664,2026-05-16T15:57:02+00:00
OUT_00019,valid,Extra Large,4,Grocery,4,1,0,0,0,0,0,0,Moderate,1,2.3,0,10,1362.2,0,2,1878.6,5,12,376.3,0,2,1509.4,0,1,1420.8,0,4,1474.3,5,20,741.2,7.060865,79.870795,2026-05-16T15:57:02+00:00
OUT_00020,valid,Small,1,SMMT,0,0,0,0,0,0,0,1,Moderate,1,2.3,3,10,627.0,0,0,3036.7,1,4,445.9,0,3,1278.5,0,2,1781.8,2,7,625.8,4,16,389.4,6.755445,79.931801,2026-05-16T15:57:02+00:00
OUT_00021,valid,Small,1,Kiosk,0,0,0,0,1,0,0,0,Moderate,1,2.3,0,8,1223.5,1,6,516.6,1,4,546.7,1,3,847.9,0,1,1654.9,1,6,807.6,4,26,290.0,6.981638,80.008655,2026-05-16T15:57:02+00:00
OUT_00022,valid,Small,1,Bakery,0,0,0,0,0,0,1,0,Moderate,1,2.3,2,11,725.0,1,6,512.4,1,13,496.1,0,1,1360.0,1,2,571.5,0,4,1012.4,0,17,1094.3,6.801531,80.082856,2026-05-16T15:57:02+00:00
OUT_00023,valid,Small,1,Eatery,0,0,0,0,0,1,0,0,Moderate,1,2.3,2,15,138.8,0,1,1618.3,0,6,1595.7,0,3,1369.6,0,0,6099.3,1,9,519.9,6,20,618.3,7.012177,79.88869,2026-05-16T15:57:02+00:00
OUT_00024,valid,Large,3,Eatery,5,0,0,0,0,1,0,0,Moderate,1,2.3,0,8,1401.0,0,5,1454.6,1,13,550.2,0,4,1719.0,0,2,1593.8,1,5,821.5,2,20,678.4,6.793285,80.067768,2026-05-16T15:57:02+00:00
OUT_00025,valid,,0,Grocery,0,1,0,0,0,0,0,0,Moderate,1,2.3,1,10,862.0,0,2,1607.7,1,11,630.6,2,3,695.5,1,1,491.2,1,6,906.4,4,26,85.8,6.859002,79.833016,2026-05-16T15:57:02+00:00
OUT_00026,valid,Medium,2,Grocery,1,1,0,0,0,0,0,0,Moderate,1,2.3,3,15,678.2,0,7,1745.5,1,5,975.8,1,5,539.3,0,0,6275.2,1,7,242.1,3,25,288.4,6.876284,79.891434,2026-05-16T15:57:02+00:00
OUT_00027,valid,Small,1,Pharmacy,1,0,0,1,0,0,0,0,Moderate,1,2.3,0,10,1513.3,1,4,742.7,3,7,804.2,0,2,2377.2,0,0,3833.6,0,7,2155.1,4,31,295.8,6.811054,79.83596,2026-05-16T15:57:02+00:00
OUT_00028,valid,Small,1,Grocery,0,1,0,0,0,0,0,0,Moderate,1,2.3,0,16,1245.5,0,1,1596.7,0,10,1070.4,0,2,1633.5,1,1,847.9,1,4,521.6,3,22,675.4,6.901918,79.819468,2026-05-16T15:57:02+00:00
OUT_00029,valid,Small,1,SMMT,3,0,0,0,0,0,0,1,Moderate,1,2.3,1,7,657.9,1,8,973.2,1,7,124.4,0,5,1476.5,1,1,575.9,0,4,2560.5,4,27,562.1,6.948624,79.890263,2026-05-16T15:57:02+00:00
OUT_00030,swapped_fixed,Extra Large,4,Grocery,4,1,0,0,0,0,0,0,Moderate,1,2.3,1,9,747.8,0,1,1918.5,1,8,583.5,0,2,1452.0,0,0,5304.8,0,7,1010.5,2,14,483.6,7.188307,79.923311,2026-05-16T15:57:02+00:00
OUT_00031,valid,Small,1,Bakery,1,0,0,0,0,0,1,0,Moderate,1,2.3,2,11,392.7,0,1,2300.1,0,10,1685.1,0,2,2387.6,0,1,1872.1,1,6,675.8,2,21,864.9,7.040353,79.95928,2026-05-16T15:57:02+00:00
OUT_00032,valid,Extra Large,4,SMMT,5,0,0,0,0,0,0,1,Moderate,1,2.3,2,13,901.9,1,6,522.3,2,11,491.9,0,1,2025.2,1,2,252.0,2,8,270.2,0,19,1068.5,7.036068,80.028486,2026-05-16T15:57:02+00:00
OUT_00033,valid,Small,1,Hotel,1,0,1,0,0,0,0,0,Moderate,1,2.3,1,16,689.6,0,1,2521.0,1,15,177.0,0,2,2108.5,0,3,2375.5,1,7,698.1,3,27,502.2,7.016153,79.990059,2026-05-16T15:57:02+00:00
OUT_00034,valid,Large,3,Grocery,5,1,0,0,0,0,0,0,Moderate,1,2.3,0,6,1141.3,1,3,144.3,0,7,1099.7,0,1,1945.6,0,3,1481.8,0,4,1313.3,1,21,854.2,6.775359,79.95246,2026-05-16T15:57:02+00:00
OUT_00035,valid,Large,3,Bakery,5,0,0,0,0,0,1,0,Moderate,1,2.3,1,9,661.6,1,4,482.2,2,8,500.1,1,1,691.7,0,0,5470.2,0,6,1338.2,3,21,553.3,6.810121,80.013345,2026-05-16T15:57:02+00:00
OUT_00036,valid,Small,1,Kiosk,0,0,0,0,1,0,0,0,Moderate,1,2.3,2,14,611.9,0,2,2096.6,1,8,673.6,0,0,3111.0,0,0,3916.5,0,7,1155.1,2,20,350.7,7.170262,79.919272,2026-05-16T15:57:02+00:00
OUT_00037,valid,Large,3,Bakery,2,0,0,0,0,0,1,0,Moderate,1,2.3,2,12,919.1,1,2,784.5,1,8,708.2,0,3,1335.0,0,1,1390.4,0,6,1778.5,5,24,657.7,6.870533,79.834042,2026-05-16T15:57:02+00:00
OUT_00038,valid,Medium,2,Bakery,2,0,0,0,0,0,1,0,Moderate,1,2.3,2,8,340.1,0,2,1859.9,0,11,2221.2,1,2,535.2,0,0,4989.5,1,10,949.8,1,29,936.1,6.814275,79.852486,2026-05-16T15:57:02+00:00
OUT_00039,valid,Medium,2,Eatery,1,0,0,0,0,1,0,0,Moderate,1,2.3,1,12,883.9,0,3,1858.2,1,9,782.4,0,2,1050.7,0,0,4117.9,0,6,1076.1,2,16,810.3,7.198127,80.089626,2026-05-16T15:57:02+00:00
OUT_00040,valid,Large,3,SMMT,4,0,0,0,0,0,0,1,Moderate,1,2.3,2,14,245.2,0,7,1343.2,1,7,557.1,1,6,417.7,0,0,5542.8,1,6,312.4,4,26,426.0,6.869515,79.904763,2026-05-16T15:57:02+00:00
OUT_00041,valid,Large,3,Grocery,3,1,0,0,0,0,0,0,Moderate,1,2.3,3,25,543.4,0,1,1271.6,2,15,492.6,0,3,2114.4,0,0,5843.6,0,4,2053.7,5,25,378.6,7.021016,79.825242,2026-05-16T15:57:02+00:00
OUT_00042,valid,Medium,2,Bakery,2,0,0,0,0,0,1,0,Moderate,1,2.3,0,8,1492.6,0,3,1214.8,1,11,776.1,0,2,1547.2,0,0,3972.0,0,4,1072.6,4,28,556.4,6.886141,80.08204,2026-05-16T15:57:02+00:00
OUT_00043,valid,Small,1,Eatery,0,0,0,0,0,1,0,0,Moderate,1,2.3,2,17,287.8,0,2,2598.9,1,9,280.8,0,4,1029.7,0,1,1726.0,0,1,2576.0,2,23,51.8,6.942807,79.934527,2026-05-16T15:57:02+00:00
OUT_00044,valid,Small,1,Grocery,1,1,0,0,0,0,0,0,Moderate,1,2.3,1,12,956.1,0,5,1372.1,0,9,1045.0,1,3,946.8,0,0,3467.0,0,5,1072.5,4,29,446.0,6.946947,79.853647,2026-05-16T15:57:02+00:00
OUT_00045,valid,Medium,2,Grocery,2,1,0,0,0,0,0,0,Moderate,1,2.3,0,8,1643.0,0,1,1416.0,2,7,799.3,0,3,1428.1,0,3,1380.0,0,3,2625.6,4,28,426.3,6.97127,79.952644,2026-05-16T15:57:02+00:00
OUT_00046,valid,Small,1,Pharmacy,0,0,0,1,0,0,0,0,Moderate,1,2.3,1,7,969.8,1,3,906.8,1,10,882.6,1,4,397.4,0,0,4762.9,1,3,355.9,1,11,837.0,7.189446,79.946023,2026-05-16T15:57:02+00:00
OUT_00047,valid,Small,1,Grocery,0,1,0,0,0,0,0,0,Moderate,1,2.3,2,11,345.2,0,2,1502.8,0,6,1126.9,1,3,953.3,1,2,488.6,0,3,1498.9,3,29,691.1,6.988452,79.947755,2026-05-16T15:57:02+00:00
OUT_00048,valid,Small,1,Kiosk,0,0,0,0,1,0,0,0,Moderate,1,2.3,1,8,694.4,0,8,1230.2,0,8,1015.6,0,1,2690.7,0,3,1944.3,0,4,2072.4,0,17,1068.0,6.712158,79.993642,2026-05-16T15:57:02+00:00
OUT_00049,valid,Small,1,Hotel,3,0,1,0,0,0,0,0,Moderate,1,2.3,0,16,1063.2,0,0,3234.3,0,7,1456.8,1,3,650.5,0,0,4799.3,1,8,845.0,4,26,397.7,6.83978,80.065048,2026-05-16T15:57:02+00:00
OUT_00050,valid,Extra Large,4,Grocery,2,1,0,0,0,0,0,0,Moderate,1,2.3,0,16,1658.6,0,1,1138.2,2,6,454.2,0,2,1637.7,0,1,2479.0,1,5,761.7,2,22,643.3,6.976382,79.971688,2026-05-16T15:57:02+00:00
OUT_00051,valid,Small,1,SMMT,0,0,0,0,0,0,0,1,Moderate,1,2.3,2,10,877.1,0,1,1264.4,0,4,1373.4,1,5,835.7,0,0,3491.3,0,3,2269.5,1,16,601.5,6.834237,79.945584,2026-05-16T15:57:02+00:00
OUT_00052,valid,Medium,2,Pharmacy,1,0,0,1,0,0,0,0,Moderate,1,2.3,1,12,493.4,0,1,2551.1,0,9,1307.7,0,1,2739.1,0,2,2178.8,0,5,1043.7,2,17,336.2,7.048015,79.971018,2026-05-16T15:57:02+00:00
OUT_00053,valid,Small,1,SMMT,2,0,0,0,0,0,0,1,Moderate,1,2.3,1,3,464.2,1,4,635.4,1,7,927.7,0,1,1982.1,0,3,1626.9,0,4,1490.9,1,19,195.8,6.770042,79.955499,2026-05-16T15:57:02+00:00
OUT_00054,valid,Small,1,Grocery,1,1,0,0,0,0,0,0,Moderate,1,2.3,1,15,936.8,0,2,1600.8,1,11,618.8,1,4,788.0,0,1,2600.0,0,5,1113.9,3,22,291.8,7.051242,79.907847,2026-05-16T15:57:02+00:00
OUT_00055,valid,Small,1,Eatery,0,0,0,0,0,1,0,0,Moderate,1,2.3,0,9,1582.9,0,3,2098.4,0,7,1146.1,0,2,1912.5,0,1,2227.0,1,6,790.9,4,26,429.1,7.133536,80.073972,2026-05-16T15:57:02+00:00
OUT_00056,valid,Small,1,Kiosk,0,0,0,0,1,0,0,0,Moderate,1,2.3,1,20,932.1,1,2,262.3,1,11,919.2,1,1,461.4,0,2,2262.1,1,8,800.9,2,23,459.9,7.024982,80.01059,2026-05-16T15:57:02+00:00
OUT_00057,valid,Large,3,SMMT,4,0,0,0,0,0,0,1,Moderate,1,2.3,4,13,195.5,0,2,1909.5,2,13,217.2,0,2,1973.4,0,1,2484.3,0,4,1434.1,2,24,536.1,6.887791,79.828195,2026-05-16T15:57:02+00:00
OUT_00058,valid,Medium,2,Grocery,1,1,0,0,0,0,0,0,Moderate,1,2.3,0,8,1087.3,1,7,537.7,1,7,702.8,0,3,1710.2,1,4,533.7,0,5,1708.6,2,23,185.3,6.777521,80.094552,2026-05-16T15:57:02+00:00
OUT_00059,valid,Medium,2,Grocery,2,1,0,0,0,0,0,0,Moderate,1,2.3,1,13,335.5,0,2,1795.8,1,6,910.4,1,2,812.1,0,0,3511.8,1,6,906.2,2,24,263.6,6.718674,80.04678,2026-05-16T15:57:02+00:00
OUT_00060,valid,Medium,2,Grocery,1,1,0,0,0,0,0,0,Moderate,1,2.3,1,14,818.7,0,3,1290.4,0,8,1741.6,0,1,1330.1,0,0,3251.4,0,4,1589.9,0,32,1151.8,7.113935,79.881463,2026-05-16T15:57:02+00:00
OUT_00061,valid,Small,1,Kiosk,1,0,0,0,1,0,0,0,Moderate,1,2.3,2,14,516.3,1,4,414.5,2,8,390.2,0,5,1006.0,0,0,4430.7,1,7,160.9,2,26,402.2,6.905677,80.009854,2026-05-16T15:57:02+00:00
OUT_00062,valid,Extra Large,4,Pharmacy,3,0,0,1,0,0,0,0,Moderate,1,2.3,3,9,585.2,0,1,2967.0,0,11,1390.6,1,4,627.6,0,0,4442.8,0,9,1655.3,2,23,846.3,6.720534,79.919646,2026-05-16T15:57:02+00:00
OUT_00063,valid,Small,1,Hotel,0,0,1,0,0,0,0,0,Moderate,1,2.3,2,10,870.3,0,3,1132.2,0,6,1480.7,0,1,2325.6,0,0,5191.9,0,2,2105.9,4,23,360.8,6.792167,79.824262,2026-05-16T15:57:02+00:00
OUT_00064,valid,Medium,2,Grocery,1,1,0,0,0,0,0,0,Moderate,1,2.3,3,11,210.0,0,4,1022.0,0,1,2468.4,1,5,784.8,0,0,4787.1,0,5,2001.7,3,22,593.6,6.786647,79.846931,2026-05-16T15:57:02+00:00
OUT_00065,valid,Small,1,Grocery,0,1,0,0,0,0,0,0,Moderate,1,2.3,0,17,1006.5,0,2,2056.5,1,7,453.6,0,3,2000.9,0,0,4067.6,2,8,874.4,0,18,1136.8,7.030099,79.88398,2026-05-16T15:57:02+00:00
OUT_00066,valid,Medium,2,Hotel,1,0,1,0,0,0,0,0,Moderate,1,2.3,1,18,315.9,0,2,1616.8,1,7,392.8,0,3,1803.2,0,0,3558.0,1,9,829.6,3,29,646.6,7.00586,79.92588,2026-05-16T15:57:02+00:00
OUT_00067,valid,Small,1,Grocery,1,1,0,0,0,0,0,0,Moderate,1,2.3,1,11,831.3,0,1,1500.0,0,10,1119.7,1,3,616.5,0,1,1763.1,0,6,2206.7,2,21,519.9,6.87094,79.82754,2026-05-16T15:57:02+00:00
OUT_00068,valid,Small,1,Kiosk,1,0,0,0,1,0,0,0,Moderate,1,2.3,3,10,161.3,0,2,2349.6,1,8,792.6,0,2,2272.0,0,0,5283.1,0,4,1279.1,2,28,659.4,6.787665,79.805148,2026-05-16T15:57:02+00:00
OUT_00069,valid,Small,1,Grocery,0,1,0,0,0,0,0,0,Moderate,1,2.3,0,12,1033.1,0,5,2536.8,2,8,37.1,0,3,1182.0,0,1,2520.6,0,2,2004.3,1,29,860.1,6.932337,79.994932,2026-05-16T15:57:02+00:00
OUT_00070,valid,Medium,2,Kiosk,1,0,0,0,1,0,0,0,Moderate,1,2.3,2,8,688.7,0,0,3213.4,1,12,783.7,2,3,671.9,0,0,4650.2,0,8,1907.6,4,26,355.3,6.722652,79.912384,2026-05-16T15:57:02+00:00
OUT_00071,valid,,0,Grocery,5,1,0,0,0,0,0,0,Moderate,1,2.3,0,12,1701.8,1,7,812.5,0,5,1526.6,0,2,1777.6,0,2,2120.8,1,4,672.8,4,23,766.5,6.969689,80.005189,2026-05-16T15:57:02+00:00
OUT_00072,valid,Large,3,Bakery,5,0,0,0,0,0,1,0,Moderate,1,2.3,1,9,943.2,0,1,2271.1,0,4,1408.5,0,1,2592.4,0,1,2606.1,0,6,1512.5,1,26,365.2,7.100475,80.003151,2026-05-16T15:57:02+00:00
OUT_00073,valid,,0,Hotel,1,0,1,0,0,0,0,0,Moderate,1,2.3,0,9,1015.0,0,1,2785.8,1,11,602.0,1,1,678.7,1,1,535.6,1,8,847.3,5,35,357.3,6.972808,80.082439,2026-05-16T15:57:02+00:00
OUT_00074,valid,Large,3,Eatery,5,0,0,0,0,1,0,0,Moderate,1,2.3,0,12,1049.3,1,3,580.5,1,8,796.6,1,3,976.8,0,1,2819.0,0,5,1717.8,3,19,78.4,6.803342,79.882188,2026-05-16T15:57:02+00:00
OUT_00075,valid,Small,1,Eatery,0,0,0,0,0,1,0,0,Moderate,1,2.3,1,18,299.3,0,2,2459.5,1,10,634.0,1,1,883.3,0,0,4288.7,1,7,450.8,5,23,370.8,7.041503,79.821357,2026-05-16T15:57:02+00:00
OUT_00076,valid,Large,3,Pharmacy,3,0,0,1,0,0,0,0,Moderate,1,2.3,0,14,1040.3,0,3,1744.3,0,10,1639.9,0,2,1715.2,0,1,2577.4,0,5,1820.4,0,27,1295.3,7.107234,79.884556,2026-05-16T15:57:02+00:00
OUT_00077,valid,Medium,2,Bakery,1,0,0,0,0,0,1,0,Moderate,1,2.3,0,13,1525.1,0,2,2079.7,1,8,977.8,1,2,619.7,0,1,2087.4,1,8,853.3,2,20,684.9,7.138736,80.020521,2026-05-16T15:57:02+00:00
OUT_00078,valid,Extra Large,4,Eatery,5,0,0,0,0,1,0,0,Moderate,1,2.3,0,13,2137.0,1,4,285.8,0,6,1111.5,0,3,2289.9,0,0,3104.6,0,5,1343.0,4,23,431.4,6.911735,79.970556,2026-05-16T15:57:02+00:00
OUT_00079,valid,Extra Large,4,Kiosk,5,0,0,0,1,0,0,0,Moderate,1,2.3,1,8,825.1,0,2,2117.8,1,12,843.6,0,2,2249.7,0,1,1480.6,0,10,1773.8,2,28,653.9,6.886009,80.032924,2026-05-16T15:57:02+00:00
OUT_00080,valid,Large,3,Grocery,2,1,0,0,0,0,0,0,Moderate,1,2.3,2,13,177.8,0,4,1179.3,1,8,789.5,1,5,437.2,0,0,3693.8,1,7,170.0,0,25,1129.7,6.914497,80.025261,2026-05-16T15:57:02+00:00
OUT_00081,valid,Small,1,Grocery,0,1,0,0,0,0,0,0,Moderate,1,2.3,5,19,123.5,0,1,1149.8,1,8,893.1,0,1,2868.0,0,0,3707.4,2,5,352.3,3,30,190.6,6.952626,80.047937,2026-05-16T15:57:02+00:00
OUT_00082,valid,Small,1,Kiosk,0,0,0,0,1,0,0,0,Moderate,1,2.3,0,6,1147.5,0,0,3551.4,1,5,738.7,0,2,2003.2,0,1,2142.4,0,3,1747.4,2,22,510.8,6.705419,80.071615,2026-05-16T15:57:02+00:00
OUT_00083,valid,Small,1,Kiosk,1,0,0,0,1,0,0,0,Moderate,1,2.3,4,15,151.9,0,3,1265.3,0,9,1008.7,0,3,1253.7,0,1,1812.3,0,7,1003.1,3,25,442.0,6.986719,79.989551,2026-05-16T15:57:02+00:00
OUT_00084,valid,Small,1,Kiosk,0,0,0,0,1,0,0,0,Moderate,1,2.3,2,16,711.8,1,6,804.4,2,8,792.1,0,1,1756.9,1,2,557.4,2,9,224.8,1,20,765.9,7.036259,80.025712,2026-05-16T15:57:02+00:00
OUT_00085,valid,Medium,2,Hotel,1,0,1,0,0,0,0,0,Moderate,1,2.3,0,6,1764.7,0,5,1240.6,1,9,599.4,1,5,423.8,0,2,1129.7,0,5,1584.2,1,16,687.9,7.165465,80.092274,2026-05-16T15:57:02+00:00
OUT_00086,valid,Medium,2,Bakery,1,0,0,0,0,0,1,0,Moderate,1,2.3,4,12,356.9,0,0,3084.4,2,10,620.5,0,1,2188.4,0,1,2691.6,0,3,1570.9,2,34,562.1,7.143852,79.905275,2026-05-16T15:57:02+00:00
OUT_00087,valid,Extra Large,4,Grocery,2,1,0,0,0,0,0,0,Moderate,1,2.3,2,9,347.1,1,3,787.3,1,10,808.8,0,1,1790.4,0,0,4370.0,1,7,732.1,3,25,186.5,7.118482,80.060061,2026-05-16T15:57:02+00:00
OUT_00088,valid,Small,1,Eatery,1,0,0,0,0,1,0,0,Moderate,1,2.3,1,10,575.0,0,2,2133.8,0,11,1131.7,0,3,1124.2,0,1,2606.5,1,4,988.6,2,21,280.2,6.898326,80.067569,2026-05-16T15:57:02+00:00
OUT_00089,valid,Small,1,Bakery,0,0,0,0,0,0,1,0,Moderate,1,2.3,2,14,425.1,0,2,1176.8,1,8,933.0,0,2,2591.4,0,1,2815.7,1,6,431.6,3,24,693.5,6.990653,80.058942,2026-05-16T15:57:02+00:00
OUT_00090,zero_coords,Large,3,Bakery,4,0,0,0,0,0,1,0,Moderate,1,2.3,0,0,10000.0,0,0,10000.0,0,0,10000.0,0,0,10000.0,0,0,10000.0,0,0,10000.0,0,0,10000.0,0.0,0.0,2026-05-16T15:57:02+00:00
OUT_00091,valid,Medium,2,Hotel,1,0,1,0,0,0,0,0,Moderate,1,2.3,1,14,688.4,0,4,2033.4,1,8,972.2,0,4,1802.6,0,0,3814.3,2,11,607.1,4,22,394.2,6.888994,80.011525,2026-05-16T15:57:02+00:00
OUT_00092,valid,Large,3,Pharmacy,4,0,0,1,0,0,0,0,Moderate,1,2.3,3,13,145.5,1,6,264.1,2,14,573.9,0,3,2387.1,0,0,3006.1,0,5,1056.2,3,19,683.0,6.946313,79.803406,2026-05-16T15:57:02+00:00
OUT_00093,valid,Small,1,Hotel,0,0,1,0,0,0,0,0,Moderate,1,2.3,1,6,946.4,0,1,2875.5,2,7,481.3,1,1,240.8,0,1,1849.1,0,5,1518.6,5,25,523.4,7.111395,80.023263,2026-05-16T15:57:02+00:00
OUT_00094,valid,Medium,2,Grocery,2,1,0,0,0,0,0,0,Moderate,1,2.3,2,13,627.9,1,4,366.1,1,7,797.8,1,4,600.0,0,0,6222.3,0,9,1162.4,2,25,506.4,6.887435,79.885714,2026-05-16T15:57:02+00:00
OUT_00095,valid,Small,1,Grocery,1,1,0,0,0,0,0,0,Moderate,1,2.3,2,10,850.7,2,5,818.0,1,12,341.1,1,5,626.6,0,0,3698.2,1,3,547.6,1,14,428.9,7.18895,79.966802,2026-05-16T15:57:02+00:00
OUT_00096,valid,Large,3,Hotel,3,0,1,0,0,0,0,0,Moderate,1,2.3,0,10,1778.6,0,0,4246.8,0,11,1105.6,0,4,1942.1,0,1,2757.2,0,2,1568.7,0,20,1015.8,7.196482,79.822139,2026-05-16T15:57:02+00:00
OUT_00097,valid,Medium,2,Eatery,1,0,0,0,0,1,0,0,Moderate,1,2.3,2,14,504.2,0,3,1094.0,0,4,1397.6,0,6,1028.3,0,1,2751.7,1,6,887.1,2,23,337.0,6.783108,79.865043,2026-05-16T15:57:02+00:00
OUT_00098,valid,Small,1,Pharmacy,0,0,0,1,0,0,0,0,Moderate,1,2.3,0,11,1036.2,0,3,1733.2,1,12,527.6,0,4,1135.2,0,1,2783.2,0,12,1035.6,5,25,311.5,6.892101,80.02113,2026-05-16T15:57:02+00:00
OUT_00099,valid,Small,1,Pharmacy,1,0,0,1,0,0,0,0,Moderate,1,2.3,2,10,590.1,0,2,1797.0,0,5,1064.8,1,4,927.1,0,0,3533.0,0,2,2506.4,0,29,1179.9,6.927828,79.98604,2026-05-16T15:57:02+00:00
