Outlet_ID,n_months,mean_monthly_vol,std_monthly_vol,max_monthly_vol,p90_monthly_vol,p75_monthly_vol,jan_avg_vol,n_jan_months,recent_3m_avg,trend_slope,has_dec2025,n_skus,primary_distributor
OUT_01661,24,135.9259,71.8797,316.9771,220.6407,191.9155,56.8417,1,153.0992,0.302869,1,10,DIST_W_02
OUT_12658,34,1452.0138,277.6861,1975.812,1907.2767,1731.2359,1344.402,3,1486.3235,1.098142,1,10,DIST_C_01
OUT_19314,21,40.5676,30.5438,106.2942,93.0281,54.2735,98.6291,2,15.8532,0.104264,0,10,DIST_S_02
OUT_15730,27,130.6277,66.442,235.1128,215.0081,188.4581,95.5349,3,140.1342,2.101987,1,10,DIST_NW_02
OUT_01926,30,529.3895,187.0301,921.6208,716.6497,631.8708,596.0444,2,694.3274,2.648114,1,10,DIST_W_01
OUT_17350,33,577.8689,199.5378,919.5968,880.2612,663.1882,902.3898,3,679.3061,-0.488389,1,10,DIST_S_02
OUT_19643,28,138.8026,78.2358,306.1494,267.4458,177.2761,173.6662,3,225.6874,-1.085633,1,10,DIST_S_01
OUT_10735,26,138.7418,69.0501,321.6287,217.3427,180.7056,201.9279,1,100.338,1.436501,0,10,DIST_C_01
OUT_12435,26,134.1155,79.5351,338.3202,210.2554,188.4304,192.3992,2,42.9557,0.843656,0,10,DIST_C_01
OUT_03678,23,104.7967,68.4988,245.4408,224.6169,143.8741,83.0361,3,127.4346,1.337593,0,10,DIST_W_02
OUT_11175,25,122.8575,68.3189,261.7609,214.9223,168.0434,175.4966,2,193.283,-0.0961,1,10,DIST_C_01
OUT_12138,30,596.4064,202.9203,1003.3273,877.3511,678.7551,437.6262,2,564.4811,4.683037,1,10,DIST_C_03
OUT_16359,27,152.915,75.513,338.2697,246.4362,206.9466,130.0024,2,222.518,0.712826,1,10,DIST_NW_01
OUT_00705,16,49.1897,35.0527,124.5418,89.1805,76.0173,9.1957,1,34.7976,-1.507143,0,10,DIST_W_01
OUT_12797,15,49.7377,36.5947,124.7996,102.4592,79.8313,40.7866,3,31.3116,-0.550202,0,10,DIST_C_01
OUT_04949,26,116.5573,75.0081,297.621,220.3556,173.054,54.8889,2,87.1701,0.996627,0,10,DIST_W_02
OUT_09391,31,154.626,76.895,312.6614,250.2868,203.8835,127.7204,3,254.4577,1.171865,1,10,DIST_C_01
OUT_08834,22,56.4553,37.0312,137.859,102.9189,88.1892,55.6705,3,88.5031,1.463847,1,10,DIST_W_02
OUT_10391,35,1455.9616,308.0778,2109.6825,1983.2344,1590.2135,1273.1169,2,1560.873,3.117241,1,10,DIST_C_01
OUT_00101,32,526.5232,175.805,909.4936,725.3873,639.2116,650.2038,2,657.5439,1.714955,1,10,DIST_W_01
OUT_09508,28,131.6097,89.1444,313.6962,255.2222,188.068,102.6181,3,164.994,0.917363,1,10,DIST_C_01
OUT_14011,28,119.4505,77.6655,287.6257,236.2186,186.4245,93.3652,3,142.1619,1.853612,1,10,DIST_NW_02
OUT_00576,22,127.9991,75.5768,272.6422,221.7265,196.705,169.8767,2,141.5871,-0.157574,0,10,DIST_W_01
OUT_02460,27,106.5536,67.4453,304.168,191.6383,134.1538,98.753,2,114.2799,-0.991188,1,10,DIST_W_02
OUT_07190,13,40.5198,31.6481,100.2884,82.4945,64.0841,80.3964,2,40.5198,-0.572869,0,10,DIST_W_03
OUT_15703,20,48.4628,33.5914,101.6795,93.8896,80.7079,0.0,0,35.2213,0.630803,1,10,DIST_NW_02
OUT_04593,35,1310.3168,302.261,1990.9298,1841.4583,1356.7542,1271.3395,3,1499.5285,0.259866,1,10,DIST_W_03
OUT_16220,16,42.1071,35.6947,130.9278,85.0367,68.582,18.6414,2,75.2402,1.562206,1,10,DIST_NW_02
OUT_09293,24,130.051,72.8887,295.8966,229.624,191.0721,90.1869,2,172.8073,3.467203,0,10,DIST_C_02
OUT_11757,24,610.1446,210.668,1005.1752,870.9856,723.896,48.1918,1,644.1371,0.385691,1,10,DIST_C_03
OUT_06142,27,558.0519,179.5626,1026.8393,792.1609,633.5794,574.4406,3,291.4019,1.91949,0,10,DIST_W_03
OUT_08841,35,550.4552,162.9155,925.2704,680.4916,632.283,554.0558,3,693.716,2.538659,1,10,DIST_W_01
OUT_03173,24,42.7258,33.0474,124.5005,85.9975,63.7211,41.2902,1,52.3159,-0.190492,1,10,DIST_W_03
OUT_05540,34,531.5244,199.9987,975.5045,808.6636,628.5449,469.4606,3,550.6177,3.411685,0,10,DIST_W_01
OUT_06522,24,152.5793,74.8232,327.6411,227.0729,204.2132,166.2258,2,201.3832,0.965878,1,10,DIST_W_02
OUT_05094,22,129.9794,79.6951,336.0374,236.0842,182.3027,183.336,2,91.6045,-2.272108,0,10,DIST_W_01
OUT_15952,34,545.4707,145.0988,884.9347,665.3402,614.9384,489.4724,3,696.7543,1.82118,1,10,DIST_NW_01
OUT_12836,26,175.1158,66.1046,313.9855,243.8098,207.8581,141.8445,3,233.5306,1.767626,1,10,DIST_C_01
OUT_19240,25,148.8256,92.5245,320.3326,283.4498,224.4454,161.6937,3,250.2209,1.688061,1,10,DIST_S_01
OUT_12621,31,579.9527,121.1621,874.0775,692.313,648.5297,554.0919,1,687.4871,5.603183,1,10,DIST_C_03
OUT_13056,26,120.5139,63.0386,232.277,201.6652,176.6113,62.7587,1,94.154,0.605746,1,10,DIST_NW_01
OUT_10989,30,531.8896,229.0345,987.2634,852.0709,627.0896,293.6245,3,564.2164,0.368716,0,10,DIST_C_01
OUT_16379,12,48.1314,31.1558,102.4803,95.6748,66.5185,0.0,0,48.1314,0.988008,0,10,DIST_NW_02
OUT_03569,31,520.6869,188.5969,932.3784,811.5333,618.0802,603.451,2,401.9463,-3.813018,1,10,DIST_W_01
OUT_06080,15,52.1611,43.874,146.591,119.9794,74.9573,0.0,0,7.0737,0.121643,0,10,DIST_W_01
OUT_16602,30,566.8325,152.5117,901.0353,683.9056,634.3029,574.9178,2,609.6353,-2.000401,0,10,DIST_NW_02
OUT_15051,28,533.8026,235.1673,974.3577,848.9455,660.6621,631.6076,3,720.7892,3.595406,1,10,DIST_NW_02
OUT_01641,34,1344.4774,345.5954,2099.1658,1906.5104,1372.5559,1326.1613,3,1582.6116,5.10019,1,10,DIST_W_01
OUT_03695,29,144.4078,75.4339,331.6585,236.7819,184.9884,90.0473,2,129.0629,-1.687771,1,10,DIST_W_02
OUT_09304,30,640.1658,149.9424,966.3571,919.7581,657.1284,547.0223,2,732.1984,-0.635048,1,10,DIST_C_03
OUT_13008,36,1431.2275,228.1771,2004.8311,1871.3779,1429.9104,1290.1408,3,1459.1892,1.798467,1,10,DIST_NW_02
OUT_15578,29,577.896,133.4055,904.2306,694.5758,606.1333,606.5918,2,578.2005,0.276105,1,10,DIST_NW_01
OUT_00228,30,540.81,143.026,884.9323,672.5976,621.4787,639.4178,2,684.4151,0.926051,1,10,DIST_W_03
OUT_01167,13,45.8958,22.2596,86.7268,79.2056,62.0141,17.197,1,83.2276,1.18245,0,10,DIST_W_01
OUT_08414,28,135.6427,60.9298,310.2027,196.6164,170.0878,132.7493,2,133.1317,0.54353,0,10,DIST_W_01
OUT_07500,13,34.1663,21.9417,75.5819,67.993,44.702,5.2214,1,18.269,0.331704,1,10,DIST_W_01
OUT_16467,33,514.8606,171.9162,898.4498,687.3367,619.0407,520.1677,3,645.9131,-1.2488,1,10,DIST_NW_02
OUT_05981,33,1324.8115,298.4774,1974.9249,1841.2416,1382.0568,1246.0779,2,1499.4341,2.620766,1,10,DIST_W_02
OUT_09618,25,104.8649,76.3018,326.1312,198.8115,159.0147,147.6389,2,118.2457,1.472034,0,10,DIST_C_01
OUT_06593,21,144.4699,64.1705,284.5943,228.4842,191.0682,196.8693,1,101.1188,-0.262199,0,10,DIST_W_03
OUT_05282,21,140.2869,76.3853,290.6181,247.4674,193.0264,176.8202,3,150.8808,0.036263,0,10,DIST_W_02
OUT_09430,25,163.3159,83.7568,375.6143,279.9239,205.3653,155.7082,3,104.7494,-0.16074,1,10,DIST_C_01
OUT_06177,18,30.8396,26.0536,93.7079,74.3235,45.6987,50.8829,1,24.114,-0.316327,1,10,DIST_W_03
OUT_15514,36,1405.6378,214.9812,1915.0254,1852.0511,1388.5858,1316.9213,3,1527.0475,2.741062,1,10,DIST_NW_01
OUT_03268,25,139.9468,87.1345,363.8059,235.136,191.7775,198.0944,2,152.0362,-1.208299,1,10,DIST_W_03
OUT_17720,27,151.9648,88.2503,329.9276,298.703,208.8345,119.8218,2,223.6351,0.841763,1,10,DIST_S_02
OUT_17085,31,574.5002,224.053,974.1561,916.4073,777.2486,905.976,3,565.9544,-1.8161,1,10,DIST_S_01
OUT_01928,31,557.3089,195.2031,985.2338,784.837,651.5876,543.9905,2,663.1659,2.330642,1,10,DIST_W_01
OUT_03395,28,548.1569,179.1753,862.4278,782.4316,654.3416,619.7337,2,706.8584,2.886542,1,10,DIST_W_03
OUT_12101,17,51.5944,34.0574,121.523,95.6207,73.7868,54.3538,2,31.8523,0.095539,0,10,DIST_C_01
OUT_04489,31,564.2878,175.8156,1015.4352,755.7795,655.8964,539.8604,3,753.182,4.144465,1,10,DIST_W_01
OUT_07762,33,1324.0541,317.8841,1927.1603,1865.0207,1395.8018,1267.9525,1,1612.5364,0.977297,1,10,DIST_W_03
OUT_09874,35,584.3496,183.6204,948.1789,862.6081,640.674,540.4635,3,548.1737,0.218438,1,10,DIST_C_03
OUT_16240,26,116.4285,64.1051,240.9564,197.2257,183.981,55.6658,2,63.1679,-1.24192,1,10,DIST_NW_01
OUT_08500,13,47.4596,30.0907,96.7138,90.1391,74.1986,20.4178,2,64.2582,0.141702,1,10,DIST_W_03
OUT_14126,29,147.2662,70.8026,295.6492,239.9619,186.9834,78.5682,2,129.6204,0.276376,0,10,DIST_NW_02
OUT_04356,32,559.1141,175.5811,965.3288,770.1597,650.3645,602.2399,3,612.1135,0.905329,1,10,DIST_W_02
OUT_17671,28,118.1465,64.4182,298.5372,199.4101,143.8783,123.0136,1,134.9581,-0.067568,1,10,DIST_S_01
OUT_09933,33,1447.6008,259.1256,1978.8141,1915.9649,1461.8593,1310.1177,3,1314.7889,-3.131776,0,10,DIST_C_03
OUT_04882,25,114.7983,81.7394,335.8338,206.3797,158.7259,133.2934,3,60.6458,-2.487037,1,10,DIST_W_01
OUT_02792,29,464.3375,188.6491,841.0734,655.0487,587.1793,587.1793,1,506.7585,-2.455443,1,10,DIST_W_01
OUT_11179,27,131.0226,62.7545,213.5839,205.7451,185.9444,146.007,2,97.1408,-0.611803,1,10,DIST_C_03
OUT_07225,35,1329.055,323.0482,2041.8362,1885.5539,1366.6833,1294.6763,3,1537.2983,2.652651,1,10,DIST_W_02
OUT_01691,33,1314.6848,275.3505,2015.7948,1671.4807,1380.2612,1337.6966,3,1481.311,0.33146,1,10,DIST_W_03
OUT_09648,29,552.7016,147.0129,879.3326,769.3756,608.3252,455.6199,3,713.699,7.427368,1,10,DIST_C_01
OUT_07388,36,1327.3261,324.6028,2123.8168,1868.6776,1362.747,1268.298,3,1497.6979,2.867382,1,10,DIST_W_01
OUT_19940,33,592.1491,204.6217,1016.9936,908.5162,730.8101,907.2407,3,607.9747,-3.190596,1,10,DIST_S_02
OUT_01346,25,156.5518,69.0889,329.1274,237.9339,195.0428,166.2557,2,121.1754,1.074702,0,10,DIST_W_03
OUT_04042,19,33.7955,26.7483,86.986,76.6615,52.1073,13.3716,1,33.7955,0.934262,0,10,DIST_W_01
OUT_02978,25,145.3029,86.0162,353.6195,240.0297,199.9968,180.7158,2,146.0473,-2.216665,1,10,DIST_W_02
OUT_18962,28,141.0707,84.8978,352.6238,261.8992,203.0352,352.6238,1,108.5356,0.288,1,10,DIST_S_02
OUT_12536,31,556.7659,212.2389,958.1872,884.3374,687.4021,568.687,3,834.8805,1.781151,1,10,DIST_C_02
OUT_07929,21,37.0547,26.8769,91.9521,72.2974,56.5895,33.8165,2,12.4717,-0.084741,1,10,DIST_W_02
OUT_10094,17,39.4051,38.0474,152.2888,96.1861,43.1269,59.8521,2,29.0573,0.526872,1,10,DIST_C_01
OUT_15627,36,1407.9456,233.4436,2061.825,1832.8494,1409.3593,1327.0994,3,1487.0737,-0.307187,1,10,DIST_NW_01
OUT_02277,29,121.5335,64.8499,337.8209,201.7443,162.9409,136.191,2,89.5011,0.045857,0,10,DIST_W_02
OUT_10096,30,541.2516,173.6515,899.7027,747.5172,633.9815,539.1167,3,533.2799,-3.397034,1,10,DIST_C_01
OUT_04467,21,139.8158,97.1409,359.4046,233.6646,214.689,145.9813,2,69.0483,-2.869139,1,10,DIST_W_01
OUT_03567,29,116.6556,71.3618,340.2923,208.46,157.6111,190.4973,2,69.3506,0.092895,0,10,DIST_W_01
OUT_02739,25,118.8637,74.2688,311.6828,209.2708,177.3575,89.7953,2,112.0786,1.285312,1,10,DIST_W_03
OUT_05789,10,26.1909,22.8957,79.1051,59.2431,31.1792,17.1829,2,26.1909,1.018362,0,10,DIST_W_02
OUT_05459,28,525.8756,172.9924,948.4256,761.2533,617.4675,421.4712,2,657.5044,2.315148,1,10,DIST_W_02
OUT_19779,19,47.8281,36.9301,122.4996,108.7709,72.1354,83.6185,2,65.6133,-0.449749,0,10,DIST_S_01
OUT_01884,14,46.2644,30.4552,115.422,87.9426,58.0486,13.2158,1,5.1054,-0.64079,0,9,DIST_W_03
OUT_17223,16,45.2895,33.3698,125.9546,85.8459,60.8125,19.5359,2,89.5923,0.9767,1,10,DIST_S_02
OUT_15343,25,148.6823,79.3978,284.5561,251.7761,226.0934,140.246,2,170.5905,-0.986171,1,10,DIST_NW_01
OUT_16946,33,1397.7483,236.8377,2105.2845,1824.6594,1384.4953,1349.6064,2,1640.0308,3.899304,1,10,DIST_NW_02
OUT_19741,15,28.8437,25.5905,109.1837,52.9785,30.9224,0.0,0,26.6807,0.52713,0,10,DIST_S_01
OUT_02058,32,521.4222,184.6566,1037.1418,730.3136,614.3099,426.8414,3,687.3972,0.269398,1,10,DIST_W_02
OUT_14311,20,34.8766,23.9584,91.8267,72.0034,42.3105,0.0,0,14.3836,-0.618224,1,10,DIST_NW_02
OUT_00092,31,545.1205,212.8899,975.9214,851.6552,627.8761,599.6886,2,713.8171,0.510402,1,10,DIST_W_02
OUT_00399,28,521.754,180.679,898.3153,708.9939,618.4267,588.8061,2,587.2467,0.001116,0,10,DIST_W_02
OUT_05156,34,1333.6222,323.914,2076.341,1818.6849,1400.5094,1285.5672,3,1542.0801,0.994235,1,10,DIST_W_03
OUT_08527,19,43.0518,39.6989,137.186,104.9884,56.8155,32.5283,1,67.4134,0.854666,1,10,DIST_W_03
OUT_12131,35,1469.6431,266.3035,2072.4955,1896.4034,1579.6393,1241.9693,3,1472.4693,1.675099,1,10,DIST_C_03
OUT_15471,15,44.8617,38.8895,141.466,104.2018,57.4001,0.0,0,8.9534,-0.562277,0,10,DIST_NW_02
OUT_03325,35,1327.1808,330.6269,2044.6967,1889.7141,1378.6839,1277.6701,3,1601.0551,1.989714,1,10,DIST_W_02
OUT_16891,32,623.4357,147.5367,968.0045,802.2229,670.4869,546.7944,3,719.9143,1.299163,1,10,DIST_NW_02
OUT_12049,32,600.134,174.4808,971.5015,830.5399,671.2218,504.3555,3,616.1538,-2.544023,0,10,DIST_C_01
OUT_13174,15,59.8108,32.5214,99.8015,97.9349,87.9333,98.8527,1,45.1446,-1.288205,1,9,DIST_NW_02
OUT_08255,31,158.3622,64.734,282.3155,244.4949,202.3183,98.8802,2,156.808,1.610726,1,10,DIST_W_02
OUT_10561,18,35.2259,24.5917,116.5182,53.3522,38.7772,15.598,2,32.1281,0.076179,0,10,DIST_C_01
OUT_07474,33,1288.6793,300.4673,1966.1675,1785.3181,1363.0119,1393.4424,3,1459.0885,2.458845,1,10,DIST_W_01
OUT_02404,31,542.5565,222.6337,986.4814,810.2205,659.7906,569.9427,3,525.7007,3.802441,1,10,DIST_W_03
OUT_09979,31,624.0288,149.048,903.407,828.2104,683.7168,634.6674,2,699.6838,1.729453,1,10,DIST_C_02
OUT_17673,30,527.2469,237.6594,1033.7512,908.0489,654.9881,651.6138,2,485.3598,-0.307389,1,10,DIST_S_02
OUT_03358,34,1321.6916,321.3915,1979.2194,1902.3336,1355.6156,1305.8668,3,1442.6121,2.543711,1,10,DIST_W_02
OUT_16924,35,565.2932,164.556,902.1924,707.3921,659.3505,471.0079,3,499.8802,-2.654124,1,10,DIST_NW_01
OUT_02508,20,50.4024,38.7043,134.1989,113.3167,69.344,11.3596,1,46.9022,0.064654,1,10,DIST_W_01
OUT_07952,17,38.302,25.9062,89.5602,78.0466,52.8765,42.4014,3,38.611,-0.491576,0,10,DIST_W_01
OUT_00116,31,543.5324,183.5915,960.8937,852.7642,622.3752,591.0089,2,676.0627,0.775694,1,10,DIST_W_03
OUT_01096,20,44.5612,37.3645,142.9357,93.833,74.7051,78.9397,2,142.9357,1.343999,1,9,DIST_W_02
OUT_14676,18,46.3187,41.85,141.9771,117.9691,59.7499,23.7626,1,53.7731,0.901123,1,10,DIST_NW_02
OUT_04713,31,513.3811,187.8798,931.2265,697.3786,622.8591,471.5558,2,630.727,1.377938,1,10,DIST_W_01
OUT_12678,27,139.7205,69.582,284.9132,228.2776,196.174,167.3578,2,35.3222,-2.196251,0,10,DIST_C_03
OUT_14998,25,141.3703,64.3436,253.3495,219.622,185.3308,127.5319,3,140.012,1.556715,1,10,DIST_NW_02
OUT_00230,31,534.5543,145.2956,838.1835,675.6058,620.0439,583.1664,3,730.3519,1.991643,1,10,DIST_W_03
OUT_15519,32,141.3092,74.7737,278.3487,244.5523,195.668,100.3592,3,129.9376,1.978041,1,10,DIST_NW_01
OUT_05027,16,37.7824,32.8752,122.4696,84.6073,49.8308,5.008,1,37.7824,-0.22868,0,10,DIST_W_02
OUT_15098,32,599.2816,170.3552,970.7575,846.045,654.5336,637.476,1,607.2692,-0.944559,1,10,DIST_NW_02
OUT_13252,30,584.408,186.3925,972.4915,815.7043,661.9467,299.5005,1,732.6962,6.06209,1,10,DIST_NW_01
OUT_12849,31,129.4322,78.7605,301.3491,242.8304,190.3327,96.16,2,139.9172,0.96436,1,10,DIST_C_03
OUT_00021,23,566.5312,155.0049,788.633,668.253,663.4868,0.0,0,628.9512,-0.937278,0,10,DIST_W_03
OUT_15289,25,183.7337,69.78,287.16,263.0133,231.1757,201.4997,3,264.7351,2.683818,1,10,DIST_NW_02
OUT_08251,29,126.3499,80.9997,302.0757,236.6451,192.9458,143.0336,2,248.8022,2.879456,1,10,DIST_W_02
OUT_17082,34,1403.7607,369.4073,2037.723,1879.3849,1799.2322,1798.339,2,1524.1496,-2.43429,1,10,DIST_S_02
OUT_12372,36,1429.303,252.3971,2014.175,1862.1297,1477.1837,1288.18,3,1444.4152,0.45426,1,10,DIST_C_03
OUT_14351,30,503.48,184.7129,944.4809,690.8652,617.5841,451.5059,2,537.12,-1.360164,0,10,DIST_NW_02
OUT_19637,33,1430.0064,410.3621,2096.4585,1987.7833,1827.9809,1970.8272,3,1612.7314,-3.408533,1,10,DIST_S_02
OUT_16688,31,1370.0075,184.3263,1902.7939,1770.3468,1354.0242,1302.5932,2,1268.0059,-2.515827,0,10,DIST_NW_01
OUT_05449,11,55.7143,31.7025,103.7231,91.2734,82.0788,0.0,0,55.7143,0.542768,0,10,DIST_W_02
OUT_03980,29,514.9084,217.5129,1004.2343,775.8039,628.1594,463.4756,2,601.2189,0.79815,1,10,DIST_W_02
OUT_03726,28,121.6234,61.0935,260.1853,209.0146,172.1237,68.9723,2,162.2718,1.037295,0,10,DIST_W_01
OUT_02636,35,1320.4765,297.4688,2029.67,1749.2975,1354.5295,1326.183,3,1386.7113,-1.567535,1,10,DIST_W_01
OUT_01182,24,119.384,84.2869,310.9873,212.734,186.4943,48.9688,1,178.3465,1.737712,1,10,DIST_W_01
OUT_08536,13,51.5723,32.7944,112.9311,92.4137,81.7863,18.3158,1,21.0196,-1.427067,0,10,DIST_W_01
OUT_12654,31,581.5435,169.2874,1030.0099,776.4734,631.359,572.4793,3,679.4571,-1.860124,1,10,DIST_C_01
OUT_10479,24,567.1156,185.5664,916.4863,799.4224,628.9738,623.9043,1,616.3111,2.345513,0,10,DIST_C_02
OUT_05565,29,551.01,171.8039,909.5622,734.4345,643.6443,255.6113,1,656.7076,-0.359995,1,10,DIST_W_02
OUT_00284,34,509.6859,171.6416,875.6545,676.1303,620.5133,395.5711,3,672.0839,1.01149,1,10,DIST_W_02
OUT_12058,29,616.5209,139.961,975.714,773.084,657.7168,597.3496,2,694.8658,3.308286,1,10,DIST_C_02
OUT_01651,18,44.8543,40.8296,175.6262,89.7427,43.0856,28.3401,2,23.8232,-0.901378,1,10,DIST_W_01
OUT_19261,24,118.2223,79.6525,276.577,234.698,171.2198,151.8915,2,165.6807,-0.449469,1,10,DIST_S_01
OUT_13868,20,49.1921,28.6252,111.0982,84.8972,75.5126,50.9816,1,36.0359,1.051704,1,10,DIST_NW_01
OUT_05592,35,1340.3144,295.236,1972.3839,1825.3602,1405.9854,1320.1658,3,1441.7816,-1.919626,1,10,DIST_W_01
OUT_00699,32,500.3289,218.9159,997.4582,820.3012,596.6267,426.8824,3,498.5673,-0.283653,1,10,DIST_W_03
OUT_02849,26,137.9176,80.9192,323.5132,242.6008,182.1944,129.6242,2,103.8735,-0.309671,1,10,DIST_W_03
OUT_01352,34,549.2286,189.2704,955.6767,833.4513,652.5208,618.2861,3,355.8546,-0.453609,1,10,DIST_W_02
OUT_18855,31,580.0578,193.1044,899.1761,853.5483,706.5664,807.9019,3,453.5486,-2.985296,0,10,DIST_S_02
OUT_09772,29,577.0796,169.0955,910.9063,792.8023,654.7126,593.7959,2,109.8758,-1.373576,1,10,DIST_C_01
OUT_00077,28,583.5519,165.6272,982.9337,754.0558,630.2752,567.5729,2,576.4968,0.843962,1,10,DIST_W_02
OUT_01878,33,512.2984,178.1461,974.1437,686.4835,628.481,484.2897,3,651.0408,2.54452,0,10,DIST_W_03
OUT_11225,33,1474.2357,244.7002,1984.2119,1889.6937,1755.0851,1280.7372,3,1541.9717,2.974742,1,10,DIST_C_01
OUT_13841,16,35.5681,26.005,89.2111,75.729,53.5569,89.2111,1,36.3182,-0.313609,0,10,DIST_NW_01
OUT_18874,28,553.326,233.0368,997.286,877.9505,692.1934,650.4666,3,698.6511,-3.392172,1,10,DIST_S_02
OUT_15790,35,1384.9449,230.4065,2007.7038,1800.4819,1379.7244,1274.6229,2,1571.4394,2.652537,1,10,DIST_NW_01
OUT_15233,24,148.427,64.9677,303.9187,216.7922,193.7999,132.3555,2,143.7798,-0.320308,1,10,DIST_NW_02
OUT_01204,31,135.4473,65.4539,292.3357,222.5958,188.0592,138.0279,3,182.2918,1.490746,1,10,DIST_W_01
OUT_07634,19,43.9034,34.7662,118.8935,102.2419,63.1726,76.3594,3,28.274,-1.125591,1,10,DIST_W_02
OUT_01407,13,47.5996,30.9203,111.639,72.7185,65.8778,60.2059,1,47.5996,0.094937,0,10,DIST_W_03
OUT_16016,31,560.7179,195.5477,1056.84,799.3425,651.7491,530.937,2,684.1919,4.618332,1,10,DIST_NW_02
OUT_04144,21,43.5865,31.8291,109.421,96.8922,56.2584,63.2185,2,96.8922,0.181125,0,10,DIST_W_01
OUT_08967,18,44.4325,33.5894,112.8353,88.4702,79.5364,85.7835,1,67.7729,0.45077,0,10,DIST_W_01
OUT_11772,28,151.9511,94.5715,332.3328,281.4033,213.8045,138.2992,2,130.1591,2.98804,1,10,DIST_C_03
OUT_11869,14,40.9105,28.7048,108.7493,78.8628,54.9122,21.996,2,41.0077,-0.197103,0,10,DIST_C_01
OUT_08406,22,160.5799,79.7631,333.8847,277.4103,204.1262,48.2919,1,203.6735,1.604948,1,10,DIST_W_01
OUT_06765,24,133.8236,75.5127,285.2999,241.1239,192.8354,0.0,0,81.6216,-0.662983,0,10,DIST_W_01
OUT_10653,36,1444.5627,242.1449,1994.248,1854.2736,1481.1805,1311.4969,3,1519.8464,0.687776,1,10,DIST_C_01
OUT_00234,31,557.2861,192.5108,930.5586,840.8058,648.323,599.4957,3,516.1673,-0.193001,1,10,DIST_W_01
OUT_04973,34,497.9802,181.3183,960.6304,717.0687,616.9123,520.4267,3,569.9204,4.090335,1,10,DIST_W_03
OUT_15340,27,549.5775,199.2067,965.477,835.6399,637.1019,468.5268,3,571.0753,3.388986,1,10,DIST_NW_01
OUT_17756,21,141.3323,85.0454,320.7855,244.9803,188.9857,87.5054,1,120.4042,-1.133861,1,10,DIST_S_02
OUT_19100,22,152.8253,78.0499,315.8276,261.3474,206.028,126.1719,2,46.7551,-2.023618,0,10,DIST_S_02
OUT_01411,28,477.4129,186.3806,916.4312,663.4111,609.1156,507.0964,3,426.6756,2.001307,0,10,DIST_W_02
OUT_00266,29,568.9873,161.5304,951.0235,734.8316,640.8481,537.2921,3,712.1583,4.446717,1,10,DIST_W_02
OUT_01392,21,40.1804,38.3693,165.221,88.9565,51.9221,31.7499,2,59.1265,0.267862,1,10,DIST_W_01
OUT_00971,14,51.175,32.7304,105.5865,94.0419,80.7588,62.9524,2,51.175,-0.016916,0,10,DIST_W_01
OUT_03681,14,36.796,35.1069,146.1575,62.8997,47.382,12.5099,2,146.1575,1.701592,1,10,DIST_W_01
OUT_08563,25,135.617,77.5414,319.0581,238.7878,184.8402,106.7742,2,180.2699,1.933849,1,10,DIST_W_01
